uf;evento;data_referencia;total_peso
TO;Apreensão de Cocaína;01/04/2024;11,60
AC;Apreensão de Cocaína;01/05/2024;1,16
AL;Apreensão de Cocaína;01/05/2024;63,95
AM;Apreensão de Cocaína;01/05/2024;2254,59
AP;Apreensão de Cocaína;01/05/2024;1,60
BA;Apreensão de Cocaína;01/05/2024;60,08
CE;Apreensão de Cocaína;01/05/2024;45,97
DF;Apreensão de Cocaína;01/05/2024;11,00
ES;Apreensão de Cocaína;01/05/2024;39,01
GO;Apreensão de Cocaína;01/05/2024;599,96
MA;Apreensão de Cocaína;01/05/2024;16,60
MG;Apreensão de Cocaína;01/05/2024;
MS;Apreensão de Cocaína;01/05/2024;1577,01
MT;Apreensão de Cocaína;01/05/2024;1486,71
PA;Apreensão de Cocaína;01/05/2024;458,62
PB;Apreensão de Cocaína;01/05/2024;38,72
PE;Apreensão de Cocaína;01/05/2024;59,11
PI;Apreensão de Cocaína;01/05/2024;0,15
PR;Apreensão de Cocaína;01/05/2024;718,45
RJ;Apreensão de Cocaína;01/05/2024;
RN;Apreensão de Cocaína;01/05/2024;17,00
RO;Apreensão de Cocaína;01/05/2024;19,00
RR;Apreensão de Cocaína;01/05/2024;0,50
RS;Apreensão de Cocaína;01/05/2024;114,83
SC;Apreensão de Cocaína;01/05/2024;83,80
SE;Apreensão de Cocaína;01/05/2024;46,50
SP;Apreensão de Cocaína;01/05/2024;1765,99
TO;Apreensão de Cocaína;01/05/2024;18,50
AC;Apreensão de Cocaína;01/06/2024;
AL;Apreensão de Cocaína;01/06/2024;41,83
AM;Apreensão de Cocaína;01/06/2024;1035,88
AP;Apreensão de Cocaína;01/06/2024;1,07
BA;Apreensão de Cocaína;01/06/2024;228,54
CE;Apreensão de Cocaína;01/06/2024;77,82
DF;Apreensão de Cocaína;01/06/2024;39,00
ES;Apreensão de Cocaína;01/06/2024;6,80
GO;Apreensão de Cocaína;01/06/2024;203,10
MA;Apreensão de Cocaína;01/06/2024;23,73
MG;Apreensão de Cocaína;01/06/2024;
MS;Apreensão de Cocaína;01/06/2024;1691,86
MT;Apreensão de Cocaína;01/06/2024;1473,47
PA;Apreensão de Cocaína;01/06/2024;142,08
PB;Apreensão de Cocaína;01/06/2024;42,23
PE;Apreensão de Cocaína;01/06/2024;21,71
PI;Apreensão de Cocaína;01/06/2024;0,23
PR;Apreensão de Cocaína;01/06/2024;1624,13
RJ;Apreensão de Cocaína;01/06/2024;
RN;Apreensão de Cocaína;01/06/2024;3,81
RO;Apreensão de Cocaína;01/06/2024;77,00
RR;Apreensão de Cocaína;01/06/2024;0,35
RS;Apreensão de Cocaína;01/06/2024;232,25
