AIS;Data;Hora;Dia da Semana;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
AIS 20;12/jul/23;15:00;Quarta;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 03;13/jul/23;15:00;Quinta;Masculino;13;Ensino Fundamental Incompleto;Parda
AIS 12;13/jul/23;19:50;Quinta;Masculino;17;Alfabetizado;Branca
AIS 08;13/jul/23;10:00;Quinta;Masculino;Não Informada;Alfabetizado;Não Informada
AIS 21;13/jul/23;18:30;Quinta;Feminino;6;Alfabetizado;Branca
AIS 02;13/jul/23;13:00;Quinta;Feminino;9;Ensino Fundamental Incompleto;Parda
AIS 10;13/jul/23;10:00;Quinta;Feminino;11;Não Informada;Não Informada
AIS 03;13/jul/23;17:30;Quinta;Feminino;4;Não Alfabetizado;Não Informada
AIS 07;13/jul/23;22:30;Quinta;Feminino;26;Ensino Médio Incompleto;Não Informada
AIS 23;14/jul/23;12:00;Sexta;Feminino;11;Alfabetizado;Não Informada
AIS 06;14/jul/23;9:00;Sexta;Feminino;14;Não Informada;Parda
AIS 10;14/jul/23;13:00;Sexta;Feminino;39;Alfabetizado;Não Informada
AIS 05;15/jul/23;17:00;Sábado;Masculino;8;Não Informada;Não Informada
AIS 09;15/jul/23;3:00;Sábado;Feminino;15;Ensino Fundamental Incompleto;Não Informada
AIS 24;15/jul/23;22:00;Sábado;Feminino;4;Não Alfabetizado;Não Informada
AIS Não Identificada (Fortaleza);15/jul/23;20:30;Sábado;Feminino;7;Ensino Fundamental Incompleto;Não Informada
AIS 02;15/jul/23;8:00;Sábado;Feminino;5;Ensino Fundamental Incompleto;Branca
AIS 04;16/jul/23;8:00;Domingo;Feminino;6;Ensino Fundamental Incompleto;Parda
AIS 21;16/jul/23;9:40;Domingo;Feminino;5;Não Informada;Não Informada
AIS 06;16/jul/23;6:10;Domingo;Feminino;59;Ensino Médio Completo;Não Informada
AIS 22;17/jul/23;8:00;Segunda;Feminino;11;Alfabetizado;Não Informada
AIS 14;17/jul/23;14:00;Segunda;Feminino;7;Alfabetizado;Parda
AIS 20;17/jul/23;10:00;Segunda;Feminino;17;Alfabetizado;Não Informada
AIS 03;17/jul/23;10:00;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 22;17/jul/23;0:00;Segunda;Feminino;13;Não Alfabetizado;Parda
AIS 22;17/jul/23;0:00;Segunda;Masculino;12;Não Informada;Não Informada
AIS 20;17/jul/23;0:00;Segunda;Feminino;38;Alfabetizado;Não Informada
AIS 14;17/jul/23;13:00;Segunda;Feminino;Não Informada;Não Informada;Parda
AIS 23;18/jul/23;9:00;Terça;Feminino;11;Alfabetizado;Não Informada
AIS 14;18/jul/23;10:00;Terça;Feminino;Não Informada;Não Informada;Não Informada
AIS 18;18/jul/23;21:00;Terça;Feminino;11;Alfabetizado;Não Informada
AIS 14;18/jul/23;10:00;Terça;Feminino;8;Alfabetizado;Não Informada
AIS 07;18/jul/23;19:30;Terça;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 17;18/jul/23;10:00;Terça;Feminino;4;Não Informada;Parda
AIS 24;18/jul/23;0:00;Terça;Masculino;Não Informada;Não Informada;Não Informada
AIS 24;19/jul/23;12:40;Quarta;Feminino;13;Não Informada;Não Informada
AIS 17;19/jul/23;10:00;Quarta;Feminino;16;Não Informada;Não Informada
AIS 24;19/jul/23;17:40;Quarta;Feminino;9;Não Informada;Não Informada
AIS 16;19/jul/23;13:00;Quarta;Feminino;16;Alfabetizado;Parda
AIS 18;19/jul/23;8:00;Quarta;Feminino;15;Ensino Fundamental Completo;Não Informada
AIS 16;19/jul/23;4:00;Quarta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 05;19/jul/23;9:00;Quarta;Feminino;27;Ensino Médio Completo;Branca
AIS 07;20/jul/23;15:00;Quinta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 17;20/jul/23;8:00;Quinta;Feminino;8;Ensino Fundamental Incompleto;Parda
AIS 06;20/jul/23;12:00;Quinta;Feminino;Não Informada;Não Informada;Não Informada
AIS 17;20/jul/23;8:00;Quinta;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 22;20/jul/23;10:00;Quinta;Feminino;Não Informada;Não Informada;Não Informada
AIS 07;20/jul/23;15:00;Quinta;Feminino;8;Ensino Fundamental Incompleto;Não Informada
AIS 19;20/jul/23;8:30;Quinta;Feminino;8;Ensino Fundamental Incompleto;Parda
AIS 24;20/jul/23;23:00;Quinta;Feminino;15;Ensino Médio Incompleto;Não Informada
AIS 07;20/jul/23;15:00;Quinta;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 19;20/jul/23;8:30;Quinta;Feminino;37;Alfabetizado;Não Informada
AIS 19;21/jul/23;19:30;Sexta;Feminino;7;Alfabetizado;Não Informada
AIS 20;21/jul/23;0:00;Sexta;Feminino;13;Alfabetizado;Não Informada
AIS 08;21/jul/23;11:00;Sexta;Feminino;16;Ensino Médio Incompleto;Branca
AIS 19;21/jul/23;10:00;Sexta;Feminino;18;Ensino Fundamental Completo;Parda
AIS 03;22/jul/23;22:00;Sábado;Feminino;2;Não Alfabetizado;Não Informada
AIS 23;22/jul/23;12:00;Sábado;Feminino;22;Ensino Fundamental Completo;Não Informada
AIS 19;22/jul/23;10:00;Sábado;Masculino;13;Ensino Fundamental Incompleto;Preta
AIS 13;22/jul/23;22:30;Sábado;Feminino;45;Ensino Médio Incompleto;Não Informada
AIS 17;23/jul/23;11:00;Domingo;Feminino;9;Alfabetizado;Não Informada
AIS 21;23/jul/23;11:00;Domingo;Feminino;5;Ensino Fundamental Incompleto;Não Informada
AIS 02;23/jul/23;18:50;Domingo;Feminino;13;Ensino Fundamental Incompleto;Branca
AIS 18;23/jul/23;18:30;Domingo;Feminino;Não Informada;Ensino Médio Completo;Parda
AIS 01;24/jul/23;23:00;Segunda;Masculino;7;Não Alfabetizado;Não Informada
AIS 10;24/jul/23;20:00;Segunda;Feminino;3;Não Alfabetizado;Parda
AIS 16;24/jul/23;10:00;Segunda;Feminino;11;Ensino Fundamental Incompleto;Parda
AIS 07;24/jul/23;15:59;Segunda;Feminino;19;Ensino Médio Completo;Não Informada
AIS 13;25/jul/23;20:00;Terça;Masculino;5;Alfabetizado;Não Informada
AIS 07;25/jul/23;0:00;Terça;Feminino;2;Não Alfabetizado;Não Informada
AIS 14;25/jul/23;11:00;Terça;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 21;25/jul/23;15:30;Terça;Feminino;Não Informada;Alfabetizado;Não Informada
AIS 16;25/jul/23;11:10;Terça;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 14;25/jul/23;22:00;Terça;Feminino;18;Ensino Fundamental Incompleto;Parda
AIS 01;25/jul/23;16:25;Terça;Feminino;20;Ensino Médio Completo;Não Informada
AIS 17;26/jul/23;10:30;Quarta;Feminino;8;Ensino Fundamental Incompleto;Parda
AIS 18;26/jul/23;16:00;Quarta;Feminino;5;Não Alfabetizado;Não Informada
AIS 02;27/jul/23;10:00;Quinta;Masculino;4;Não Alfabetizado;Não Informada
AIS 19;27/jul/23;21:00;Quinta;Feminino;14;Ensino Fundamental Incompleto;Parda
AIS 09;27/jul/23;12:00;Quinta;Feminino;14;Não Informada;Não Informada
AIS 16;27/jul/23;22:00;Quinta;Feminino;11;Não Informada;Parda
AIS 02;28/jul/23;10:00;Sexta;Feminino;14;Não Informada;Não Informada
AIS 09;28/jul/23;19:00;Sexta;Feminino;8;Ensino Fundamental Incompleto;Não Informada
AIS 13;28/jul/23;9:30;Sexta;Feminino;5;Não Alfabetizado;Branca
AIS 23;29/jul/23;18:00;Sábado;Feminino;15;Ensino Fundamental Completo;Parda
AIS 16;29/jul/23;23:30;Sábado;Feminino;15;Não Informada;Não Informada
AIS 07;29/jul/23;18:00;Sábado;Feminino;28;Superior Incompleto;Não Informada
AIS 12;30/jul/23;1:30;Domingo;Masculino;0;Não Alfabetizado;Parda
AIS 16;30/jul/23;10:00;Domingo;Feminino;12;Alfabetizado;Não Informada
AIS 17;30/jul/23;16:00;Domingo;Feminino;8;Alfabetizado;Não Informada
AIS 15;30/jul/23;15:00;Domingo;Feminino;13;Não Informada;Branca
AIS 12;30/jul/23;5:22;Domingo;Feminino;19;Superior Incompleto;Não Informada
AIS 23;30/jul/23;18:30;Domingo;Feminino;16;Ensino Médio Incompleto;Não Informada
AIS 04;31/jul/23;1:00;Segunda;Masculino;14;Ensino Fundamental Incompleto;Não Informada
AIS 22;31/jul/23;8:00;Segunda;Feminino;13;Alfabetizado;Não Informada
AIS 17;31/jul/23;0:00;Segunda;Feminino;2;Não Informada;Branca
AIS 07;31/jul/23;16:30;Segunda;Feminino;5;Não Alfabetizado;Parda
AIS 16;31/jul/23;14:53;Segunda;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 11;31/jul/23;3:30;Segunda;Feminino;28;Ensino Médio Completo;Não Informada
AIS 08;01/ago/23;17:00;Terça;Masculino;11;Ensino Fundamental Incompleto;Parda
AIS 08;01/ago/23;21:00;Terça;Masculino;11;Ensino Fundamental Incompleto;Parda
AIS 07;01/ago/23;13:00;Terça;Masculino;11;Alfabetizado;Não Informada
AIS 06;01/ago/23;12:00;Terça;Feminino;7;Não Informada;Parda
AIS 16;01/ago/23;8:00;Terça;Feminino;16;Alfabetizado;Não Informada
AIS 11;01/ago/23;10:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 22;01/ago/23;0:00;Terça;Feminino;9;Não Informada;Não Informada
AIS 20;01/ago/23;10:00;Terça;Feminino;15;Não Informada;Não Informada
AIS 23;01/ago/23;16:00;Terça;Feminino;13;Alfabetizado;Não Informada
AIS 16;01/ago/23;15:02;Terça;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 13;01/ago/23;9:00;Terça;Feminino;18;Superior Incompleto;Não Informada
AIS 12;02/ago/23;11:00;Quarta;Feminino;17;Não Alfabetizado;Não Informada
AIS 24;02/ago/23;8:00;Quarta;Feminino;4;Não Alfabetizado;Não Informada
AIS 14;02/ago/23;4:00;Quarta;Feminino;36;Alfabetizado;Parda
AIS 16;02/ago/23;8:20;Quarta;Feminino;8;Ensino Fundamental Incompleto;Não Informada
AIS 22;02/ago/23;14:00;Quarta;Feminino;13;Ensino Fundamental Completo;Parda
AIS 22;03/ago/23;16:00;Quinta;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 12;03/ago/23;14:00;Quinta;Feminino;Não Informada;Não Informada;Não Informada
AIS 04;03/ago/23;12:00;Quinta;Feminino;5;Não Alfabetizado;Parda
AIS Não Identificada (Fortaleza);03/ago/23;18:30;Quinta;Feminino;19;Superior Completo;Não Informada
AIS 15;04/ago/23;11:00;Sexta;Masculino;12;Alfabetizado;Não Informada
AIS 13;04/ago/23;18:30;Sexta;Feminino;8;Alfabetizado;Não Informada
AIS 20;04/ago/23;20:00;Sexta;Feminino;10;Alfabetizado;Não Informada
AIS 05;04/ago/23;7:30;Sexta;Feminino;8;Não Informada;Não Informada
AIS 24;04/ago/23;8:00;Sexta;Feminino;3;Não Informada;Não Informada
AIS 15;04/ago/23;18:15;Sexta;Masculino;Não Informada;Alfabetizado;Não Informada
AIS 16;04/ago/23;12:00;Sexta;Feminino;19;Ensino Médio Completo;Não Informada
AIS 05;04/ago/23;10:00;Sexta;Feminino;29;Ensino Fundamental Incompleto;Preta
AIS 12;05/ago/23;14:42;Sábado;Feminino;3;Não Informada;Não Informada
AIS 12;05/ago/23;14:42;Sábado;Feminino;10;Não Alfabetizado;Não Informada
AIS 05;06/ago/23;2:00;Domingo;Feminino;0;Não Alfabetizado;Branca
AIS 05;06/ago/23;2:00;Domingo;Feminino;2;Não Alfabetizado;Branca
AIS 14;06/ago/23;1:20;Domingo;Feminino;25;Ensino Médio Incompleto;Não Informada
AIS 14;06/ago/23;11:00;Domingo;Feminino;11;Não Alfabetizado;Não Informada
AIS 21;07/ago/23;16:00;Segunda;Feminino;8;Alfabetizado;Não Informada
AIS 16;07/ago/23;10:01;Segunda;Feminino;7;Ensino Fundamental Incompleto;Não Informada
AIS 18;07/ago/23;18:30;Segunda;Feminino;13;Ensino Fundamental Completo;Parda
AIS 13;07/ago/23;9:30;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 18;07/ago/23;7:00;Segunda;Feminino;14;Ensino Médio Incompleto;Não Informada
AIS 17;07/ago/23;10:00;Segunda;Masculino;13;Alfabetizado;Parda
AIS 07;07/ago/23;3:00;Segunda;Feminino;36;Superior Incompleto;Branca
AIS 24;08/ago/23;18:00;Terça;Masculino;2;Não Alfabetizado;Não Informada
AIS 13;08/ago/23;16:00;Terça;Feminino;Não Informada;Não Informada;Não Informada
AIS 03;08/ago/23;18:00;Terça;Feminino;2;Não Alfabetizado;Não Informada
AIS 14;08/ago/23;19:15;Terça;Feminino;13;Não Alfabetizado;Não Informada
AIS Não Identificada (Fortaleza);08/ago/23;11:00;Terça;Feminino;6;Alfabetizado;Parda
AIS 24;08/ago/23;10:00;Terça;Feminino;2;Não Alfabetizado;Não Informada
AIS 19;09/ago/23;8:00;Quarta;Feminino;10;Não Informada;Não Informada
AIS 06;09/ago/23;11:30;Quarta;Feminino;1;Não Alfabetizado;Não Informada
AIS 20;09/ago/23;8:00;Quarta;Feminino;10;Alfabetizado;Não Informada
AIS 16;09/ago/23;17:00;Quarta;Feminino;7;Não Alfabetizado;Não Informada
AIS 06;10/ago/23;10:00;Quinta;Masculino;8;Não Informada;Não Informada
AIS 20;10/ago/23;19:00;Quinta;Feminino;22;Alfabetizado;Não Informada
AIS 06;10/ago/23;18:30;Quinta;Feminino;2;Não Alfabetizado;Não Informada
AIS Não Identificada (Fortaleza);10/ago/23;19:00;Quinta;Feminino;12;Ensino Fundamental Incompleto;Branca
AIS 18;10/ago/23;19:00;Quinta;Não Informado;Não Informada;Não Informada;Não Informada
AIS 11;10/ago/23;8:00;Quinta;Feminino;18;Ensino Médio Incompleto;Parda
AIS 08;11/ago/23;2:00;Sexta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 08;11/ago/23;2:00;Sexta;Feminino;6;Não Informada;Não Informada
AIS 02;11/ago/23;0:00;Sexta;Feminino;0;Não Alfabetizado;Não Informada
AIS 17;11/ago/23;9:00;Sexta;Feminino;5;Não Alfabetizado;Não Informada
AIS 09;11/ago/23;8:00;Sexta;Masculino;16;Ensino Fundamental Incompleto;Não Informada
AIS 03;12/ago/23;19:00;Sábado;Feminino;6;Não Informada;Parda
AIS 03;12/ago/23;19:00;Sábado;Feminino;8;Não Informada;Não Informada
AIS 14;12/ago/23;8:00;Sábado;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 25;12/ago/23;15:00;Sábado;Feminino;5;Não Alfabetizado;Parda
AIS 06;12/ago/23;20:00;Sábado;Feminino;3;Não Alfabetizado;Não Informada
AIS 24;12/ago/23;20:30;Sábado;Feminino;4;Não Informada;Não Informada
AIS 03;12/ago/23;1:00;Sábado;Feminino;11;Ensino Fundamental Incompleto;Parda
AIS 19;12/ago/23;20:00;Sábado;Feminino;9;Alfabetizado;Não Informada
AIS 09;12/ago/23;12:26;Sábado;Feminino;16;Alfabetizado;Não Informada
AIS 06;12/ago/23;21:30;Sábado;Feminino;7;Não Alfabetizado;Não Informada
AIS 22;12/ago/23;17:30;Sábado;Masculino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 19;12/ago/23;15:00;Sábado;Feminino;10;Alfabetizado;Não Informada
AIS 01;12/ago/23;23:00;Sábado;Feminino;33;Ensino Médio Completo;Não Informada
AIS 24;13/ago/23;0:00;Domingo;Feminino;5;Não Alfabetizado;Não Informada
AIS 14;14/ago/23;10:17;Segunda;Masculino;8;Não Informada;Não Informada
AIS 12;14/ago/23;22:10;Segunda;Masculino;12;Ensino Fundamental Incompleto;Não Informada
AIS 22;14/ago/23;10:00;Segunda;Feminino;13;Não Informada;Não Informada
AIS 11;15/ago/23;17:00;Terça;Masculino;Não Informada;Não Informada;Não Informada
AIS 19;15/ago/23;19:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 09;15/ago/23;11:00;Terça;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 17;15/ago/23;0:00;Terça;Feminino;11;Não Informada;Não Informada
AIS 21;15/ago/23;14:00;Terça;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 10;15/ago/23;22:00;Terça;Feminino;5;Ensino Fundamental Incompleto;Parda
AIS 25;15/ago/23;16:30;Terça;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 19;15/ago/23;20:30;Terça;Masculino;2;Não Alfabetizado;Não Informada
AIS 17;16/ago/23;12:30;Quarta;Masculino;4;Não Alfabetizado;Não Informada
AIS 06;16/ago/23;13:00;Quarta;Masculino;11;Ensino Fundamental Incompleto;Parda
AIS 13;16/ago/23;9:30;Quarta;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 13;16/ago/23;15:00;Quarta;Feminino;13;Alfabetizado;Não Informada
AIS 16;16/ago/23;10:00;Quarta;Feminino;12;Alfabetizado;Parda
AIS 03;16/ago/23;12:00;Quarta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 07;16/ago/23;13:00;Quarta;Feminino;13;Ensino Fundamental Incompleto;Branca
AIS 09;16/ago/23;7:00;Quarta;Feminino;35;Superior Completo;Não Informada
AIS 21;16/ago/23;19:00;Quarta;Feminino;45;Alfabetizado;Não Informada
AIS 04;17/ago/23;11:30;Quinta;Feminino;9;Ensino Fundamental Incompleto;Parda
AIS 08;17/ago/23;13:00;Quinta;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 03;17/ago/23;11:00;Quinta;Feminino;16;Ensino Fundamental Incompleto;Não Informada
AIS 13;17/ago/23;9:50;Quinta;Masculino;13;Ensino Fundamental Incompleto;Parda
AIS 12;17/ago/23;15:00;Quinta;Feminino;Não Informada;Não Informada;Parda
AIS 13;18/ago/23;20:00;Sexta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS Não Identificada (Fortaleza);18/ago/23;10:00;Sexta;Feminino;11;Não Informada;Não Informada
AIS 23;18/ago/23;14:00;Sexta;Feminino;0;Não Alfabetizado;Não Informada
AIS 11;18/ago/23;11:00;Sexta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 14;18/ago/23;15:00;Sexta;Feminino;0;Não Alfabetizado;Não Informada
AIS 21;19/ago/23;5:00;Sábado;Feminino;15;Ensino Fundamental Incompleto;Não Informada
AIS 21;20/ago/23;7:00;Domingo;Masculino;6;Ensino Fundamental Incompleto;Parda
AIS 15;20/ago/23;9:00;Domingo;Masculino;5;Não Alfabetizado;Não Informada
AIS 13;20/ago/23;13:00;Domingo;Feminino;9;Alfabetizado;Não Informada
AIS 24;20/ago/23;9:00;Domingo;Feminino;Não Informada;Não Informada;Não Informada
AIS 24;20/ago/23;9:00;Domingo;Feminino;Não Informada;Não Informada;Não Informada
AIS 17;21/ago/23;8:00;Segunda;Feminino;16;Ensino Médio Incompleto;Não Informada
AIS 15;21/ago/23;8:30;Segunda;Feminino;20;Ensino Médio Completo;Não Informada
AIS 12;21/ago/23;8:00;Segunda;Feminino;12;Alfabetizado;Parda
AIS 23;21/ago/23;9:00;Segunda;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 02;21/ago/23;13:00;Segunda;Feminino;Não Informada;Ensino Fundamental Completo;Não Informada
AIS 21;21/ago/23;10:00;Segunda;Feminino;Não Informada;Ensino Fundamental Incompleto;Parda
AIS 20;22/ago/23;0:00;Terça;Feminino;14;Ensino Fundamental Completo;Não Informada
AIS 21;22/ago/23;9:00;Terça;Feminino;6;Não Alfabetizado;Não Informada
AIS 18;22/ago/23;10:00;Terça;Feminino;Não Informada;Ensino Fundamental Incompleto;Parda
AIS 18;22/ago/23;10:00;Terça;Feminino;8;Alfabetizado;Parda
AIS 06;22/ago/23;14:00;Terça;Feminino;5;Não Alfabetizado;Não Informada
AIS 21;22/ago/23;13:00;Terça;Feminino;2;Não Alfabetizado;Branca
AIS 20;22/ago/23;10:00;Terça;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 19;22/ago/23;9:00;Terça;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 06;22/ago/23;15:02;Terça;Feminino;6;Ensino Fundamental Incompleto;Não Informada
AIS 02;22/ago/23;11:00;Terça;Masculino;10;Alfabetizado;Não Informada
AIS 19;22/ago/23;12:00;Terça;Feminino;12;Alfabetizado;Branca
AIS 19;22/ago/23;10:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 10;23/ago/23;0:00;Quarta;Masculino;10;Alfabetizado;Não Informada
AIS 19;23/ago/23;11:00;Quarta;Masculino;13;Alfabetizado;Branca
AIS 09;23/ago/23;11:32;Quarta;Feminino;3;Não Informada;Parda
AIS 14;23/ago/23;8:00;Quarta;Feminino;11;Alfabetizado;Parda
AIS 17;23/ago/23;10:00;Quarta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 03;23/ago/23;0:00;Quarta;Feminino;17;Ensino Médio Incompleto;Não Informada
AIS 10;23/ago/23;12:00;Quarta;Feminino;8;Alfabetizado;Não Informada
AIS 21;23/ago/23;11:00;Quarta;Feminino;14;Alfabetizado;Não Informada
AIS Não Identificada (Fortaleza);24/ago/23;0:00;Quinta;Masculino;Não Informada;Ensino Médio Incompleto;Não Informada
AIS 15;24/ago/23;11:00;Quinta;Masculino;11;Alfabetizado;Não Informada
AIS 05;24/ago/23;8:00;Quinta;Masculino;15;Ensino Médio Incompleto;Parda
AIS 20;24/ago/23;6:20;Quinta;Feminino;17;Ensino Fundamental Incompleto;Parda
AIS 16;24/ago/23;9:00;Quinta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 14;24/ago/23;21:00;Quinta;Feminino;16;Ensino Fundamental Incompleto;Não Informada
AIS 22;24/ago/23;22:00;Quinta;Feminino;12;Alfabetizado;Não Informada
AIS 08;24/ago/23;12:30;Quinta;Feminino;4;Não Alfabetizado;Não Informada
AIS 18;25/ago/23;10:00;Sexta;Masculino;8;Não Informada;Não Informada
AIS 02;26/ago/23;10:00;Sábado;Masculino;3;Não Informada;Não Informada
AIS 14;26/ago/23;17:00;Sábado;Feminino;12;Alfabetizado;Parda
AIS 15;26/ago/23;15:00;Sábado;Feminino;12;Alfabetizado;Não Informada
AIS 18;26/ago/23;10:00;Sábado;Feminino;17;Ensino Fundamental Incompleto;Branca
AIS 08;26/ago/23;17:00;Sábado;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 21;26/ago/23;16:00;Sábado;Masculino;13;Alfabetizado;Não Informada
AIS 21;26/ago/23;12:00;Sábado;Feminino;Não Informada;Ensino Médio Incompleto;Parda
AIS 14;26/ago/23;22:30;Sábado;Feminino;24;Alfabetizado;Branca
AIS 16;27/ago/23;23:30;Domingo;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 17;27/ago/23;2:00;Domingo;Feminino;15;Ensino Médio Incompleto;Não Informada
AIS 19;27/ago/23;19:30;Domingo;Feminino;8;Alfabetizado;Branca
AIS 20;27/ago/23;10:00;Domingo;Feminino;11;Alfabetizado;Não Informada
AIS 25;27/ago/23;8:00;Domingo;Feminino;10;Não Alfabetizado;Não Informada
AIS 14;27/ago/23;3:00;Domingo;Feminino;36;Ensino Médio Completo;Não Informada
AIS 06;27/ago/23;23:30;Domingo;Feminino;18;Ensino Médio Incompleto;Não Informada
AIS 25;27/ago/23;4:00;Domingo;Feminino;24;Alfabetizado;Parda
AIS 14;27/ago/23;14:30;Domingo;Feminino;42;Alfabetizado;Não Informada
AIS 21;27/ago/23;16:30;Domingo;Feminino;10;Ensino Fundamental Incompleto;Parda
AIS 10;28/ago/23;0:00;Segunda;Masculino;4;Não Alfabetizado;Não Informada
AIS 19;28/ago/23;18:00;Segunda;Feminino;17;Alfabetizado;Preta
AIS 19;28/ago/23;10:00;Segunda;Feminino;18;Alfabetizado;Não Informada
AIS 21;28/ago/23;17:30;Segunda;Feminino;9;Não Informada;Não Informada
AIS 07;28/ago/23;23:00;Segunda;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 19;28/ago/23;14:30;Segunda;Feminino;60;Alfabetizado;Não Informada
AIS 19;29/ago/23;20:30;Terça;Feminino;4;Alfabetizado;Parda
AIS 13;29/ago/23;23:00;Terça;Feminino;26;Ensino Médio Incompleto;Parda
AIS 19;30/ago/23;19:15;Quarta;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 06;30/ago/23;0:00;Quarta;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 15;30/ago/23;13:30;Quarta;Feminino;7;Alfabetizado;Branca
AIS 09;30/ago/23;9:00;Quarta;Feminino;16;Ensino Médio Incompleto;Não Informada
AIS 02;30/ago/23;18:00;Quarta;Feminino;7;Não Alfabetizado;Não Informada
AIS 13;30/ago/23;0:00;Quarta;Feminino;4;Não Alfabetizado;Não Informada
AIS 25;30/ago/23;7:00;Quarta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 16;30/ago/23;11:09;Quarta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 15;31/ago/23;17:00;Quinta;Masculino;13;Alfabetizado;Parda
AIS 04;31/ago/23;14:04;Quinta;Feminino;12;Ensino Fundamental Incompleto;Branca
AIS 15;31/ago/23;14:20;Quinta;Feminino;15;Ensino Fundamental Incompleto;Parda
AIS 02;31/ago/23;8:00;Quinta;Feminino;14;Ensino Fundamental Incompleto;Parda
AIS 15;31/ago/23;17:00;Quinta;Feminino;10;Alfabetizado;Parda
AIS 05;31/ago/23;13:30;Quinta;Feminino;11;Ensino Fundamental Incompleto;Parda
AIS 14;01/set/23;10:00;Sexta;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 07;01/set/23;8:00;Sexta;Feminino;17;Ensino Fundamental Incompleto;Parda
AIS 07;01/set/23;8:00;Sexta;Feminino;11;Ensino Fundamental Incompleto;Parda
AIS 07;01/set/23;11:00;Sexta;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 14;01/set/23;18:30;Sexta;Feminino;3;Não Alfabetizado;Parda
AIS 14;01/set/23;10:00;Sexta;Feminino;Não Informada;Não Informada;Parda
AIS 06;01/set/23;14:00;Sexta;Feminino;9;Ensino Fundamental Incompleto;Parda
AIS 16;01/set/23;10:00;Sexta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 02;01/set/23;5:00;Sexta;Feminino;8;Ensino Fundamental Incompleto;Parda
AIS 18;01/set/23;16:00;Sexta;Feminino;7;Não Informada;Não Informada
AIS 19;02/set/23;11:00;Sábado;Feminino;11;Ensino Fundamental Incompleto;Parda
AIS 14;02/set/23;20:00;Sábado;Feminino;13;Alfabetizado;Parda
AIS 14;02/set/23;18:00;Sábado;Feminino;25;Ensino Médio Completo;Não Informada
AIS 03;02/set/23;22:30;Sábado;Feminino;52;Ensino Médio Completo;Não Informada
AIS 25;02/set/23;17:00;Sábado;Feminino;25;Ensino Médio Completo;Não Informada
AIS 03;03/set/23;16:30;Domingo;Feminino;5;Ensino Fundamental Incompleto;Não Informada
AIS 14;03/set/23;2:30;Domingo;Feminino;13;Não Informada;Não Informada
AIS 17;03/set/23;9:00;Domingo;Feminino;14;Alfabetizado;Parda
AIS 20;03/set/23;23:00;Domingo;Feminino;84;Não Alfabetizado;Não Informada
AIS 17;03/set/23;18:00;Domingo;Feminino;36;Não Alfabetizado;Não Informada
AIS 02;03/set/23;19:00;Domingo;Feminino;9;Alfabetizado;Não Informada
